00005855n|Se conoce como juego sexual a los preludios del acto sexual.
03055321n|Tetris DS es un videojuego de Tetris desarrollado y publicado por Nintendo para su videoconsola portatil Nintendo DS.
03058520n|Changeling: el ensueño es un juego de rol parte del Mundo de Tinieblas, original de White Wolf.
03064161n|R: Racing es un videojuego de coches desarrollado por Namco para las consolas GameCube, PlayStation 2 y Xbox.
03064246n|Bayonetta 2 sera un videojuego de accion publicado y desarrollado por Nintendo y Platinum Games para la videoconsola Wii U con los propietarios de la franquicias Sega actuando como asesores.
03065814n|Project Eternity es un videojuego de rol de fantasia de Obsidian Entertainment para Microsoft Windows, OS X y Linux, actualmente siendo financiado en Kickstarter.
03065971n|Fire Emblem: F in no Tsurugi es el sexto juego de la saga Fire Emblem, desarrollado por Intelligent Systems y publicado por Nintendo para Game Boy Advance.
03066069n|TEG o Plan Tactico y Estrategico de la Guerra es un juego de mesa argentino, lanzado originalmente en 1976.
03068568n|Need for Speed: Most Wanted es un videojuego multiplataforma de carreras, desarrollado por EA Black Box y lanzado primero por Electronic Arts el 15 de noviembre de 2005 en los Estados Unidos.
03074533n|Pipe Mania es un videojuego de puzle desarrollado en 1989 por The Assembly Line para Amiga.
03078142n|Fire Emblem: Monsh no Nazo es el tercer juego de la saga Fire Emblem, desarrollado por Intelligent Systems y publicado por Nintendo originalmente en la consola Super Famicom, conocida como SNES en occidente.
03082035n|Hidden & Dangerous 2 es un videojuego de accion tactica desarrollado por Illusion Softworks en 2003 para PC.
03083609n|Senku es un juego de tablero solitario abstracto de origen dudoso, probablemente de la Edad Media.
03083655n|Mafia es un juego que recrea una batalla entre una minoria informada y una mayoria desinformada.
03084959n|Boogerman: A Pick and Flick Adventure' es un juego 2D de plataformas creado por la gente de Interplay Entertainment y lanzado para la Sega Genesis en 1994 y la SNES en 1995.
03085000n|Super Bases Loaded es un juego de beisbol para Super NES.
03085305n|Marathon Infinity es un videojuego para Mac OS.
03085398n|Shadowrun es un videojuego de accion en primera persona desarrollado por FASA Corporation para Windows Vista y Xbox 360.
03085827n|Lost Planet: Extreme Condition es un videojuego creado por Capcom para la Xbox 360 de Microsoft y que posteriormente fue portado para PC y PlayStation 3.
03086758n|Dance Dance Revolution SuperNOVA es el noveno juego de arcade en la saga de Dance Dance Revolution.
03086782n|Metal Slug 5 es un videojuego que forma parte de la saga Metal Slug.
03087434n|Mega Man 2 es un videojuego que es parte de la serie original de Mega Man.
03087730n|Private Eye es un videojuego para el Atari 2600 publicado por Activision.
03088966n|Tales of Phantasia es un videojuego RPG perteneciente a la saga Tales of.
03089590n|King & Balloon es un videojuego arcade publicado por Namco en 1980.
03090580n|Purble Place es un videojuego de ordenador de interes educativo, desarrollado por Oberon Games e incluido en Microsoft Windows.
03091964n|El Quinito o Kinito es un juego de dados basado en conseguir que los adversarios en el juego beban mas que uno mismo.
03092169n|Shinobi es un videojuego de accion para maquinas recreativas.
03093285n|Superman es un videojuego desarrollado y distribuido por Sunsoft para Sega Mega Drive en 1992.
03093772n|Cooking Mama es un videojuego para Nintendo DS desarrollado por Cooking Mama Limited y distribuido en Japon por Taito, Majesco en Estados Unidos y 505 Games en Europa.
03094464n|Rogue Galaxy es un videojuego de rol de ciencia ficcion desarrollado por Level-5 y publicado por Sony Computer Entertainment para el PlayStation 2.
03095499n|El cotabo era un juego de habilidad, practicado por los antiguos griegos en los simposios.
03096183n|Afterlife es un videojuegos de estrategia tipo dios lanzado por LucasArts en 1996, que situa al jugador en el papel de un ser semi-omnipotente conocido como Demiurgo, con el trabajo de crear un cielo e infierno funcionales para recompensar o castigar a tus seguidores, primeramente, construyendo edificios en ambos sitios para que las almas puedan habitarlos.
03097692n|Carmageddon II: Carpocalypse Now es un videojuego de coches creado en 1998 que destaco por el morbo y la violencia como su antecesor el Carmageddon.
03098547n|Wario's Woods es un videojuego de logica desarrollado y distribuido por Nintendo para Nintendo Entertainment System y Super Nintendo en 1994, y mas tarde realizado para Satellaview en 1997.
03098551n|Mario Golf: Toadstool Tour, conocido en Japon como Mario Golf: Family Tour, es un videojuego de deportes desarrollado por Camelot Software Planning y publicado por Nintendo para Nintendo GameCube.
03099514n|Ataxx es un juego de mesa que aparecio como un videojuego arcade por The Leland Corporation.
03101136n|MPLE "Ice Climber es un videojuego arcade de plataformas, desarrollado por Nintendo en 1984.
03101376n|El juego de mesa conocido como escaleras y serpientes es un juego de azar jugado sobre un tablero con casillas ilustrado sobre el que los participantes compiten por llegar en primer lugar a la meta.
03101394n|Risk es un juego de mesa de caracter estrategico, creado por Albert Lamorisse en 1950 y comercializado desde 1958 por la empresa Parker Brothers.
03101494n|Crysis es un videojuego de disparos en primera persona de ciencia ficcion desarrollado por la empresa alemana Crytek y distribuido por Electronic Arts.
03102118n|Los juegos interligas son en Grandes Ligas de Beisbol, los partidos que disputan equipos de la Liga Americana contra la Liga Nacional en la campaña regular.
03102322n|Cossacks: European Wars es un videojuego de estrategia para PC desarrollado por GSC Game World.
03102565n|Digimon Rumble Arena 2, conocido como Digimon Battle Chronicle en Japon, es un Videojuego de lucha Digimon del 2004 lanzado por Bandai Games para PlayStation 2, GameCube, y Xbox.
03103763n|Star Wars: The Empire Strikes Back es un videojuego para la Nintendo Entertainment System aparecido en EE.
03104198n|Digimon Racing es un videojuego de carreras desarrollado por Griptonite Games y distribuido por Bandai  ahora Namco Bandai Games  para la Game Boy Advance.
03105293n|Adventures of Dino Riki es un videojuego creado por Hudson Soft en 1987 para el Nintendo Entertainment System en Japon, y lanzado en Estados Unidos en septiembre de 1989.
03105314n|The Adventures of Tom Sawyer es un videojuego plataformas para el Nintendo Entertainment System en 1989 por Seta y basado en el libro The Adventures of Tom Sawyer de Mark Twain.
03105322n|Icebreaker es un videojuego de accion para Windows, Mac y 3DO.
03106938n|Strikers 1945 es un videojuego de genero shoot 'em up con scroll vertical creado para arcade y lanzado en 1995 por la compañia japonesa Psikyo.
03107299n|Every Party es un videojuego desarrollado por Game Republic y publicado por Microsoft Game Studios a finales de 2005 para Xbox 360.
03107524n|Un videojuego de deporte es un videojuego de consola o de computadora que simula el campo de deportes tradicional.
03109009n|Fight Night: Round 3 es un videojuego de boxeo desarrollado por EA Sports.
03111135n|Medal of Honor: Rising Sun es un videojuego de disparos en primera persona basado en las batallas libradas durante la Segunda Guerra Mundial en el Oceano Pacifico, desde el bombardeo de Pearl Harbor hasta las calles de Singapur.
03111163n|Frogger es un videojuego arcade lanzado en 1981.
03111906n|Blazing Angels:Squadrons of WWII es un videojuego de simulador de vuelo para las consolas Xbox 360, Xbox, PlayStation 3, Wii y PC.
03113450n|Shadow of Rome es un videojuego de accion y aventuras.
03114992n|Tomb Raider es un videojuego de aventura de accion y plataformas, uno de los primeros en 3D aparecidos para la generacion de 32 bits, desarrollado por Core Design y distribuido por Eidos Interactive.
03115319n|Time Crisis es un videojuego del tipo shooter disponible al principio en salas con maquinas recreativas y posteriormente para la Playstation y telefonos celulares.
03115433n|Baseball Stars lanzado en Japon como, es un videojuego de beisbol de 1989 que fue producido por SNK para la NES.
03115463n|Stargate Worlds es un nuevo juego de rol multijugador, que esta siendo desarrollado por la recien creada empresa Cheyenne Mountain Entertainment, en asociacion con la Metro Goldwyn Mayer.
03115774n|Waku Waku 7 es un videojuego de lucha publicado en 1996 por la empresa Sunsoft para el sistema arcade Neo-Geo.
03115869n|Cauldron II: The Pumpkin Strikes Back es un videojuego creado por Steve Brown y Richard Leinfellner, publicado por Palace Software en 1986, para ZX Spectrum, Amstrad CPC y Commodore 64.
03117612n|Curse of Enchantia es un videojuego del genero aventura grafica lanzado por la compañia Core Design en el año 1992.
03119444n|X-Men: Mutant Apocalypse es un video juego de accion de desplazamiento lateral publicado por Capcom para la consola casera Super Nintendo Entertainment System en 1994.
03120162n|Virtua Tennis es un videojuego de tenis lanzado al mercado en el año 1999, creado por la division de Sega, Hitmaker.
03120424n|Killzone 3 es un videojuego de accion en primera persona para PlayStation 3, desarrollado por Guerrilla Games y publicado por Sony Computer Entertainment.
03120541n|El Gordo de la Primitiva es un juego de azar regulado por Loterias y Apuestas del Estado.
03122195n|El Señor de los Anillos es un juego de cartas coleccionables basado en las peliculas de Peter Jackson sobre la novela El Señor de los Anillos de J.
03123190n|Un Twink es, en un videojuego multijugador, un personaje controlado por un jugador, que es desproporcionadamente superior al resto dentro de su nivel.
03123237n|Onimusha: Dawn of Dreams es un juego de accion de Capcom aparecido en 2006 para la consola PlayStation 2.
03124157n|Evil Zone es un videojuego de lucha en 3D, para la consola PlayStation, que fue lanzado en 1999.
03125363n|Mario & Luigi: Superstar Saga, conocido en Japon como, es un videojuego de genero RPG desarrollado por AlphaDream y publicado por Nintendo para la consola portatil Game Boy Advance.
03125880n|Wolfenstein: Enemy Territory es un videojuego de disparos en primera persona, inicialmente iba a ser lanzado como una expansion de Return to Castle Wolfenstein, pero fue lanzado como juego completo multijugador y freeware en 2003.
03127372n|Amagon, conocido en Japon como, es un videojuego de plataformas de accion side-scrolling para el Nintendo Entertainment System desarrollado por Aicom.
03128452n|El Grid es un juego de arcade de 2001 por Midway.
03129354n|Lineage es un juego de fantasia medieval del tipo MMORPG para PC diseñado en 1998 por el desarrollador de videojuegos de la empresa surcoreana NCsoft, Jake Song, que previamente habia diseñado Nexus: The Kingdom of the Winds, otro MMORPG.
03130106n|Black & White es un videojuego creado por Lionhead Studios, con Peter Molyneux a la cabeza.
03131339n|Eve Online es un videojuego de rol masivo multijugador en linea ambientado en el espacio.
03131440n|Deadlands: The Weird West Roleplaying Game es un juego de rol estadounidense ambientado en un viejo oeste alternativo de ficcion, en el que el despertar de la magia chamanica de los amerindios ocupa un papel preponderante.
03132001n|The Incredible Shrinking Fireman es un videojuego arcade de plataformas realizado por Andy Mitchell y David Kidd, publicado bajo el sello de la compañia britanica de videojuegos Mastertronic en 1986.
03132432n|Zoo Keeper es un videojuego creado en 1982 por la empresa Taito.
03132786n|Flying Dragon es un videojuego de lucha con elementos RPG para la Nintendo 64 lanzado en 1998, el cual fue diseñado por Culture Brain y publicado por Natsume.
03132843n|Tourist Trophy: The Real Riding Simulator es un juego simulador de motocicletas para la consola PlayStation 2 de Sony desarrollado por Polyphony Digital, los creadores de Gran Turismo.
03134072n|Mickey's Speedway USA es un videojuego de carreras desarrollado por Rare y publicado por Nintendo para Nintendo 64 y Game Boy Color, dando su salida al mercado a finales de 2000.
03134551n|Simutrans es un juego de simulacion de codigo libre bajo Artistic License 1.0 para Windows, AmigaOS, BeOS, Mac OS X y Linux que se concentra en el transporte de mercancias, pasajeros, correo y energia.
